"gene_family","SRR14127885","SRR14127886","SRR14127887","SRR14127888","SRR14127889","SRR14127890","SRR14127891","SRR14127893","SRR14127894","SRR14127895","SRR14127896","SRR14127897","SRR14127898","SRR14127899","SRR14127900","SRR14127901","SRR14127902","SRR14127904","SRR14127905","SRR14127907","SRR14127931","SRR14127932","SRR14127933","SRR14127934","SRR14127935","SRR14127936","SRR14127937","SRR14127939","SRR14127940","SRR14127941","SRR14127942","SRR14127943","SRR14127944","SRR14127945","SRR14127946","SRR14127947","SRR14127948","SRR14127950","SRR14127951","SRR14128067","SRR14128068","SRR14128069","SRR14128070","SRR14128072","SRR14128073","SRR14128074","SRR14128075","SRR14128076","SRR14128077","SRR14128078","SRR14128079","SRR14128080","SRR14128081","SRR14128083","SRR14128085","SRR14128111","SRR14128112","SRR14128113","SRR14128114","SRR14128115","SRR14128116","SRR14128117","SRR14128118","SRR14128120","SRR14128121","SRR14128122","SRR14128123","SRR14128124","SRR14128125","SRR14128126","SRR14128127","SRR14128128","SRR14128130","SRR14128131","SRR14128132","SRR14128134"
"UniRef90_L1P808",39.4098233353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.8125701459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9180999181
"UniRef90_L1P8P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0232861243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1P8R8",0,11.2359550562,0,24.5381928794,0,0,0,0,0,0,0,0,62.3727430583,16.2580570902,31.3398002267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2382822728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9253332239,0,20.6885491286,0,0,0,0,0,10.4169492445,0,11.2997957099,0,33.63356095
"UniRef90_L1P8V0",0,18.7435809654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1973443223,0,0,0,0,0,0,0,0,0,0,0,0,10.3626943005,0,0,0,0,0,0,0,0,0
"UniRef90_L1P9H9",135.9870489702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.8264868816
"UniRef90_L1PA68",28.687732605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2719824052
"UniRef90_L1PAQ8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1930154256
"UniRef90_L1PAT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3124151881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8150180387,0,0,0,0,0,0,28.349612393
"UniRef90_L1PAV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0164467393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1PBM2",20.1509017298,0,0,0,0,0,32.7137224316,123.7796500954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.027027027,14.8700939746,0,0,0,0,0,135.1351351351,0,0,0,0,0,23.2558139535,0,40.8052285286,0,0,0,0,0,0,0,0,0,0,0,41.2078500465,0,0,0,0,0,0,0,14.2857142857,0,0,51.9568151147,81.0810810811,48.1419906092,0
"UniRef90_L1PD44",0,0,0,0,0,0,0,0,0,0,0,0,13.8888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5187969925,14.0845070423,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1PDL4",0,0,0,0,0,0,0,18.5201063191,0,0,0,0,79.7041792785,19.0476190476,20.4569055036,0,0,0,0,0,0,0,0,0,0,0,5.076142132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6416290575,0,0,0,0,0,0,0,5.1282051282,0,0,0,0,0,38.292340282,0,0,0,9.4339622642,0,0,0,0,0,0,0,0,24.7933884298,60.6908248311,0,0
"UniRef90_L1PEX8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1PHN3",0,0,0,0,0,0,0,0,31.1445508436,0,0,0,0,15.5994093167,0,0,0,0,0,0,0,0,0,0,9.7087378641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7439543281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7647058824,0,0,0
"UniRef90_L1PJ83",0,0,0,0,0,0,0,0,0,0,0,0,25.3205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0963855422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6888029228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4945054945,0,0,0,0,0
"UniRef90_L1PKY8",0,0,0,14.5290546846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4469311615,0,0,6.0882941656,0,0,0,0,0,0,0,0,13.062464401,0,0,0,0,0,0,0,0,0,11.927380314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8057398791,64.6810835527,21.4265191271,0,12.0004000133,0,0,0,0,0,0,0,0,47.5572306139,19.8040881457
"UniRef90_L1PLK1",0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5359477124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1PME0",0,0,0,0,0,0,0,0,0,0,0,0,0,16.0571668768,0,0,0,0,0,0,0,0,0,0,43.5852451642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2011011848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3092783505,0,0,0,0,0,20.9705753184,0,0,0,0
"UniRef90_L1PMK0",0,0,0,27.0461428696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4229884554,0,0
"UniRef90_L1PNE1",0,0,0,54.1346357629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3779724656,0,0,20.4248366013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6956914054,0,0,44.2838829276,14.2973856209,29.6296296296,7.3529411765,0,0,0,0,0,0,0,0,0,58.7698583083,0,0
"UniRef90_L1PPT0",0,0,0,0,0,0,0,0,0,0,0,0,35.0877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2587064677,0,0,0,0,7.2463768116,0,0,0,0,0,0,0,0,0,0,0,7.6335877863,0,0,0,0,0,0,0,0,0
"UniRef90_L1PQ39",0,0,8.4745762712,0,0,0,0,0,21.2765957447,0,0,0,49.4335147384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2083333333,21.2765957447,0,10.152284264,0,0,0,0,0,0,0,0,10.6382978723,0,0,0,0,0,0,0,0,0,0,0,21.3909860444,0,0,0,0,0,0,0,0,0,39.2154162633,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1PQN5",0,0,0,0,0,0,0,0,0,0,0,0,28.1690140845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8965517241,19.9176134553,0,0
"UniRef90_L1PQP4",0,0,0,28.3601395327,0,0,9.3457943925,0,0,0,0,0,80.403162711,9.3055465386,22.4183231258,0,0,0,4.7393364929,0,0,0,0,0,0,0,0,0,0,9.3457943925,0,0,9.5012412548,0,0,9.5238095238,53.1936454644,14.28593025,0,49.0646986651,0,4.7619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.345595749,0,30.5988231222,0,9.5016701273,0,0,0,17.2734718189,14.2405777477,0,0,17.6991150442,9.5016701273,0
"UniRef90_L1PS04",0,0,0,34.8930481283,0,0,0,0,0,0,0,0,62.6698054955,0,44.8507690168,0,0,0,0,0,0,0,0,0,0,0,51.3156568202,0,0,0,0,0,0,0,0,21.8694885362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6582278481,0,0,0,0,0,0,0,75.6329113924,0,193.5637107284,32.6215978115,55.9667036498,0,0,12.6582278481,0,0,0,0,0,0,62.9746835443,0,0
"UniRef90_L1PSR8",0,0,0,0,0,0,0,0,0,0,0,0,51.3197193364,0,0,0,0,0,0,0,0,0,0,0,24.6913580247,0,20.8878708551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.6824816051,0,0,0,0,0,0,0,0,0,0,9.009009009,0
"UniRef90_L1PTL1",0,0,0,0,0,0,0,0,0,0,11.160273934,21.4645163738,8.0972987149,0,9.4153939188,0,0,0,0,0,0,0,0,0,0,0,19.5696955841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.046439805,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5577405051,0,29.7740657905,0,0,0,0,0,0,0,0,0,0
